candidate_id,N,layout_type,layout_parameters,nozzle_count,min_center_distance,mean_nearest_neighbor_distance,std_nearest_neighbor_distance,nearest_neighbor_cv,uniformity_score,max_center_radius,mean_center_radius,radial_std,count_ok,boundary_ok,overlap_ok,spacing_ok,feasible,failure_reasons,x_axis_symmetry,y_axis_symmetry,origin_symmetry,pareto_candidate
N012_rectangular_001,12,rectangular,"{""spacing"": 8.0}",12,8.0,8.0,0.0,0.0,1.0,12.649110640673518,10.318358510279804,3.296181273332773,True,True,True,True,True,[],True,True,True,False
N012_rectangular_002,12,rectangular,"{""spacing"": 10.0}",12,10.0,10.0,0.0,0.0,1.0,15.811388300841896,12.897948137849754,4.120226591665965,True,True,True,True,True,[],True,True,True,False
N012_rectangular_003,12,rectangular,"{""spacing"": 14.0}",12,14.0,14.0,0.0,0.0,1.0,22.135943621178654,18.05712739298966,5.768317228332352,True,True,True,True,True,[],True,True,True,False
N012_rectangular_004,12,rectangular,"{""spacing"": 18.0}",12,18.0,18.0,0.0,0.0,1.0,28.460498941515414,23.216306648129564,7.416407864998738,True,True,True,True,True,[],True,True,True,False
N012_hexagonal_005,12,hexagonal,"{""spacing"": 8.0}",12,7.999999999999999,7.999999999999999,0.0,0.0,1.0,13.856406460551018,9.773502691896256,4.0593897486563915,True,True,True,True,True,[],False,False,False,False
N012_hexagonal_006,12,hexagonal,"{""spacing"": 10.0}",12,10.0,10.0,0.0,0.0,1.0,17.320508075688775,12.216878364870324,5.074237185820491,True,True,True,True,True,[],False,False,False,False
N012_hexagonal_007,12,hexagonal,"{""spacing"": 12.0}",12,12.0,12.0,0.0,0.0,1.0,20.784609690826528,14.660254037844387,6.089084622984588,True,True,True,True,True,[],False,False,False,False
N012_hexagonal_008,12,hexagonal,"{""spacing"": 16.0}",12,15.999999999999998,15.999999999999998,0.0,0.0,1.0,27.712812921102035,19.547005383792513,8.118779497312783,True,True,True,True,True,[],False,False,False,False
N012_ring_009,12,ring,"{""points_per_ring"": [12], ""ring_radii"": [51.94]}",12,26.88612240524982,26.88612240524984,1.3759600911837627e-14,5.117733492558562e-16,0.9999999999999996,51.940000000000005,51.93999999999999,8.204640795236539e-15,True,True,True,True,True,[],True,True,True,False
N012_staggered_ring_010,12,staggered_ring,"{""delta_theta"": 0.39269908169872414, ""points_per_ring"": [4, 8], ""ring_radii"": [28.0, 51.94]}",12,28.187419827936907,28.18741982793691,4.2285750773764915e-15,1.5001639395122987e-16,0.9999999999999998,51.940000000000005,43.96,11.285424227737298,True,True,True,True,True,[],True,True,True,True
